Filtrage à priori basé sur sur un rapport des longueurs <0.25 sauf pour l2=en (filtrage uniquement basé sur alignable.py)
subDir	nbAlignedFiles	nbAlignedChars1	nbAlignedWords1	nbAlignedChars2	nbAlignedWords2
pl-en	693	596911	76799	604373	89531
hr-en	20	20337	2776	21226	3168
en-fr	52542	156863319	24794295	170086531	27376658
ro-fr	46	164164	23810	176133	26796
de-fr	4975	15119739	2028555	15711499	2483492
nl-fr	1398	3073928	457816	3171990	507725
es-fr	2864	8968314	1408873	9086233	1449137
it-fr	3601	11100956	1670359	11075724	1755336
pl-fr	324	555713	72398	633615	99043
pt-fr	360	1123283	177988	1166472	190148
ca-fr	275	665282	109908	685309	109858
ru-fr	1076	700790	90904	805041	117351
sv-fr	200	670734	93696	760556	122265
no-fr	99	128465	18863	142222	23154
tr-fr	19	20715	2761	23146	3759
hr-fr	8	10279	1493	11041	1829
fi-fr	35	31817	3539	34651	5348
eo-fr	25	46754	6984	55922	8807
eu-fr	29	34484	4191	35449	5543
nn-fr	37	30642	4613	33771	5170
bg-fr	15	7579	968	9411	1348
ar-fr	39	12288	1941	14743	2327
lb-fr	51	55971	8272	62478	9746
sk-fr	4	22371	3118	26146	4099
hu-fr	40	60380	7660	67345	10530
cs-fr	68	63695	8767	80214	12589
la-fr	4	8301	1124	10746	1740
br-fr	14	8477	1362	9127	1401
vi-fr	17	55466	11442	54899	9285
gl-fr	7	11862	1785	11986	1852
id-fr	6	7270	973	7486	1176
af-fr	5	9702	1496	11043	1751
da-fr	28	29857	4356	34018	5463
sl-fr	13	13759	2067	15491	2494
uk-fr	14	11178	1534	13168	1945
lv-fr	8	9579	1255	10794	1800
et-fr	21	17228	2079	21103	3422
cz-fr	4	7249	959	8251	1230
vo-fr	1	8348	1312	10421	1687
en-vi	653	3203279	519090	3260155	662524
fr-vi	7	79386	13130	77798	15530
gd-fr	15	26370	4186	28714	4451
fr-it	3276	12618264	2009145	12697167	1919775
en-it	27759	107314609	16933423	115713433	17614263
hr-it	15	34796	4985	39023	5936
de-it	1726	4562860	616159	4730657	706051
sq-en	106	45186	6839	41295	6142
eo-en	28	22668	3309	21192	3120
el-en	151	77693	10537	77599	11059
ca-en	259	447418	74003	420246	65659
fi-en	213	167286	19171	164097	24923
cs-en	529	222621	29914	241454	35711
zh-en	115	32469	4249	36164	5190
no-en	204	234637	33226	249503	37261
ro-it	76	325562	48028	329315	49006
et-en	57	23373	2985	22054	3318
fr-en	6768	11993611	1873990	11335269	1755338
